ID;GebruikVanGeweld;SoortDiefstal;RegioS;Perioden;TotaalGeregistreerdeDiefstallen_1;GeregistreerdeDiefstallenPer1000Inw_3
183129;A048105;CRI1127;GM0376;2019JJ00;0;     0.0
183130;A048105;CRI1127;GM0376;2020JJ00;0;     0.0
183131;A048105;CRI1127;GM0376;2021JJ00;0;     0.0
183140;A048105;CRI1127;GM0377;2018JJ00;0;     0.0
183141;A048105;CRI1127;GM0377;2019JJ00;0;     0.0
183142;A048105;CRI1127;GM0377;2020JJ00;0;     0.0
183143;A048105;CRI1127;GM0377;2021JJ00;0;     0.0
183152;A048105;CRI1127;GM0055;2018JJ00;;
183153;A048105;CRI1127;GM0055;2019JJ00;;
183154;A048105;CRI1127;GM0055;2020JJ00;;
183155;A048105;CRI1127;GM0055;2021JJ00;;
183164;A048105;CRI1127;GM0497;2018JJ00;;
183165;A048105;CRI1127;GM0497;2019JJ00;;
183166;A048105;CRI1127;GM0497;2020JJ00;;
183167;A048105;CRI1127;GM0497;2021JJ00;;
183176;A048105;CRI1127;GM1901;2018JJ00;0;     0.0
183177;A048105;CRI1127;GM1901;2019JJ00;0;     0.0
183178;A048105;CRI1127;GM1901;2020JJ00;0;     0.0
183179;A048105;CRI1127;GM1901;2021JJ00;0;     0.0
183188;A048105;CRI1127;GM0755;2018JJ00;0;     0.0
183189;A048105;CRI1127;GM0755;2019JJ00;0;     0.0
183190;A048105;CRI1127;GM0755;2020JJ00;0;     0.0
183191;A048105;CRI1127;GM0755;2021JJ00;0;     0.0
183200;A048105;CRI1127;GM0009;2018JJ00;0;     0.0
183201;A048105;CRI1127;GM0009;2019JJ00;;
183202;A048105;CRI1127;GM0009;2020JJ00;;
183203;A048105;CRI1127;GM0009;2021JJ00;;
183212;A048105;CRI1127;GM0064;2018JJ00;;
183213;A048105;CRI1127;GM0064;2019JJ00;;
183214;A048105;CRI1127;GM0064;2020JJ00;;
183215;A048105;CRI1127;GM0064;2021JJ00;;
